GEOID	INTPTLAT	INTPTLONG
200	43.163894	-77.6261279
700	43.1733854	-77.6085802
1000	43.1555592	-77.5824927
1300	43.169763	-77.6070148
1500	43.1719705	-77.5968846
1800	43.1962429	-77.6528216
1900	43.1992754	-77.6313006
2000	43.1904633	-77.6351611
2100	43.1861951	-77.640144
2200	43.181453	-77.639644
2300	43.175525	-77.633088
2400	43.1727454	-77.6420355
2700	43.1485138	-77.6263126
2900	43.150366	-77.5892576
3000	43.1445319	-77.5945525
3100	43.1465154	-77.5817158
3200	43.146195	-77.607577
3300	43.1408445	-77.5996814
3400	43.1392979	-77.6079993
3500	43.1336109	-77.6028297
3600	43.1366529	-77.5947119
3700	43.1385173	-77.5829891
3802	43.1286611	-77.6291471
3805	43.1202701	-77.6271462
3900	43.178914	-77.6234066
4000	43.1668136	-77.6441633
4100	43.1627531	-77.6346498
4602	43.1873152	-77.6204559
4701	43.2109066	-77.6194923
4702	43.1885036	-77.6085096
4800	43.1844173	-77.6062675
4900	43.1807362	-77.6037832
5000	43.1770269	-77.6180785
5100	43.1817962	-77.6149762
5200	43.1768684	-77.6064801
5300	43.1735905	-77.5863224
5400	43.173527	-77.5680322
5500	43.1687685	-77.5891215
5600	43.167656	-77.5814998
5700	43.1648975	-77.5759951
5800	43.1669499	-77.5669911
5900	43.1595176	-77.5744583
6000	43.1638639	-77.5581577
6100	43.1622464	-77.5417303
6200	43.141654	-77.6535833
6300	43.1445622	-77.6421952
6400	43.1430277	-77.6304588
6500	43.1430398	-77.6216547
6600	43.1375363	-77.6307939
6700	43.1384602	-77.6421268
6800	43.1333836	-77.6561905
6900	43.1328155	-77.6335883
7000	43.1287398	-77.6386883
7100	43.1297641	-77.6467186
7500	43.14934	-77.6474136
7600	43.1564764	-77.5549224
7700	43.1507219	-77.5532117
7801	43.14735	-77.5657718
7802	43.1402401	-77.5616534
7900	43.1845481	-77.5969076
8000	43.178145	-77.5926286
8100	43.1894517	-77.5909137
8200	43.1845395	-77.5791469
8301	43.1817958	-77.5670604
8400	43.178482	-77.582072
8500	43.2538938	-77.6145949
8600	43.2234832	-77.6249452
8701	43.1673566	-77.6721294
8702	43.1505481	-77.6617317
8800	43.174607	-77.664093
9200	43.1678072	-77.6166172
9301	43.1639945	-77.5991018
9302	43.1525729	-77.5982385
9400	43.1560576	-77.6065477
9500	43.1492564	-77.6152274
9601	43.1520441	-77.6292751
9602	43.1546865	-77.6391009
9603	43.1614522	-77.6442271
9604	43.1580757	-77.6337593
10100	43.247385	-77.5925916
