GEOID	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
200	0.605	0.023	43.163894	-77.6261279
700	0.222	0	43.1733854	-77.6085802
1000	0.533	0	43.1555592	-77.5824927
1300	0.155	0	43.169763	-77.6070148
1500	0.164	0	43.1719705	-77.5968846
1800	1.818	0	43.1962429	-77.6528216
1900	0.69	0.042	43.1992754	-77.6313006
2000	0.538	0.035	43.1904633	-77.6351611
2100	0.406	0	43.1861951	-77.640144
2200	0.222	0	43.181453	-77.639644
2300	0.438	0.032	43.175525	-77.633088
2400	0.369	0	43.1727454	-77.6420355
2700	0.153	0	43.1485138	-77.6263126
2900	0.311	0	43.150366	-77.5892576
3000	0.17	0	43.1445319	-77.5945525
3100	0.385	0	43.1465154	-77.5817158
3200	0.229	0.037	43.146195	-77.607577
3300	0.142	0	43.1408445	-77.5996814
3400	0.269	0.001	43.1392979	-77.6079993
3500	0.249	0.007	43.1336109	-77.6028297
3600	0.284	0	43.1366529	-77.5947119
3700	0.341	0	43.1385173	-77.5829891
3802	0.154	0	43.1286611	-77.6291471
3805	2.638	0.162	43.1202701	-77.6271462
3900	0.193	0.01	43.178914	-77.6234066
4000	0.137	0	43.1668136	-77.6441633
4100	0.145	0	43.1627531	-77.6346498
4602	0.235	0.019	43.1873152	-77.6204559
4701	0.739	0.128	43.2109066	-77.6194923
4702	0.332	0	43.1885036	-77.6085096
4800	0.173	0	43.1844173	-77.6062675
4900	0.151	0	43.1807362	-77.6037832
5000	0.156	0	43.1770269	-77.6180785
5100	0.166	0	43.1817962	-77.6149762
5200	0.173	0	43.1768684	-77.6064801
5300	0.187	0	43.1735905	-77.5863224
5400	0.335	0	43.173527	-77.5680322
5500	0.264	0	43.1687685	-77.5891215
5600	0.266	0	43.167656	-77.5814998
5700	0.152	0	43.1648975	-77.5759951
5800	0.316	0	43.1669499	-77.5669911
5900	0.354	0	43.1595176	-77.5744583
6000	0.353	0	43.1638639	-77.5581577
6100	0.536	0	43.1622464	-77.5417303
6200	0.274	0	43.141654	-77.6535833
6300	0.278	0	43.1445622	-77.6421952
